clause_text,clause_type
A Participant’s Deferrals shall be 100% vested at all times.,Vesting
A Participant shall be 100% vested at all times in his or her Deferral Subaccount.,Vesting
Section 11.15 of the Credit Agreement is hereby incorporated by reference.,Waiver Of Jury Trials
Subsection 10.15 of the Credit Agreement is hereby incorporated by reference.,Waiver Of Jury Trials
Section 11.15 of the Credit Agreement is hereby incorporated by reference.,Waiver Of Jury Trials
Subsection 10.15 of the Credit Agreement is hereby incorporated by reference.,Waiver Of Jury Trials
"Section 10.15 of the Credit Agreement is incorporated herein, mutatis mutandis, as if a part hereof.",Waiver Of Jury Trials
"This Release may be amended, only upon a written agreement executed by the Employee and the Company.",Waivers
"This Release may be amended, only upon a written agreement executed by the Employee and the Company.",Waivers
"This Release may be amended, only upon a written agreement executed by the Employee and the Company.",Waivers
"This Release may be amended, only upon a written agreement executed by the Employee and the Company.",Waivers
"This Release may be amended, only upon a written agreement executed by the Employee and the Company.",Waivers
Licensor warrants that it owns or has all necessary rights to grant the licenses hereunder.,Warranties
All of the representations and warranties contained herein shall survive the Closing Dates.,Warranties
The representations and warranties of EnCap contained herein shall not survive the Termination Date.,Warranties
Schedule 16 of the Master Agreement is hereby supplemented with Schedule 16.2 attached hereto.,Warranties
All of the representations and warranties contained herein shall survive the Forward Closing.,Warranties
Withholding of all applicable taxes are your responsibility.,Withholdings
All amounts payable under this Agreement will be subject to withholdings as required by law.,Withholdings
Payments made hereunder shall be made subject to required governmental withholdings.,Withholdings
All compensation payable to the Executive shall be subject to applicable taxes and withholdings.,Withholdings
The Company shall withhold from any payments any deductions required by law.,Withholdings
